,Title,Average Score,Score Count,Genres
120,Stationeers,95.20050654284509,7,Simulator
120,Stationeers,95.20050654284509,7,Indie
121,Death Trash,68.52367872511509,7,Role-playing (RPG)
121,Death Trash,68.52367872511509,7,Adventure
121,Death Trash,68.52367872511509,7,Indie
122,Grav,56.24543788632251,7,Shooter
122,Grav,56.24543788632251,7,Role-playing (RPG)
122,Grav,56.24543788632251,7,Adventure
122,Grav,56.24543788632251,7,Indie
123,Blockade 3D,59.81505490544451,7,Shooter
124,Of Guards and Thieves,58.56139364990166,7,Racing
124,Of Guards and Thieves,58.56139364990166,7,Strategy
124,Of Guards and Thieves,58.56139364990166,7,Indie
125,Between Me and the Night,77.27534502733315,7,Adventure
125,Between Me and the Night,77.27534502733315,7,Indie
126,Project: Playtime,53.33333333333333,6,Indie
127,Yet Another Zombie Survivors,80.01239517362927,6,Role-playing (RPG)
127,Yet Another Zombie Survivors,80.01239517362927,6,Indie
128,Shatterline,79.82540790582537,6,Shooter
129,The Anacrusis,53.60345222633449,6,Shooter
129,The Anacrusis,53.60345222633449,6,Adventure
129,The Anacrusis,53.60345222633449,6,Indie
130,Farthest Frontier,79.98012175425518,6,Simulator
130,Farthest Frontier,79.98012175425518,6,Strategy
130,Farthest Frontier,79.98012175425518,6,Indie
131,Manor Lords,71.40392597690112,6,Real Time Strategy (RTS)
131,Manor Lords,71.40392597690112,6,Strategy
132,All Over,83.33333333333334,6,Puzzle
132,All Over,83.33333333333334,6,Role-playing (RPG)
132,All Over,83.33333333333334,6,Adventure
132,All Over,83.33333333333334,6,Indie
133,Orbital Bullet,70.42121316700332,6,Shooter
133,Orbital Bullet,70.42121316700332,6,Platform
133,Orbital Bullet,70.42121316700332,6,Hack and slash/Beat 'em up
133,Orbital Bullet,70.42121316700332,6,Adventure
133,Orbital Bullet,70.42121316700332,6,Indie
133,Orbital Bullet,70.42121316700332,6,Arcade
134,Firestone Idle RPG,47.06422018348624,6,Role-playing (RPG)
134,Firestone Idle RPG,47.06422018348624,6,Simulator
134,Firestone Idle RPG,47.06422018348624,6,Adventure
134,Firestone Idle RPG,47.06422018348624,6,Indie
135,Trials of Fire,75.83333333333334,6,Role-playing (RPG)
135,Trials of Fire,75.83333333333334,6,Strategy
135,Trials of Fire,75.83333333333334,6,Indie
136,War Selection,62.2308979364194,6,Strategy
136,War Selection,62.2308979364194,6,Indie
137,Deeeer Simulator,62.07143660752438,6,Simulator
137,Deeeer Simulator,62.07143660752438,6,Indie
138,Workers & Resources: Soviet Republic,68.50416764302213,6,Simulator
138,Workers & Resources: Soviet Republic,68.50416764302213,6,Strategy
138,Workers & Resources: Soviet Republic,68.50416764302213,6,Indie
139,Half-Life: Uplink,70.08421892086201,6,Shooter
140,Maximum Action,63.80596290181607,6,Shooter
140,Maximum Action,63.80596290181607,6,Indie
141,Pandemic: The Board Game,61.13560829183328,6,Simulator
141,Pandemic: The Board Game,61.13560829183328,6,Strategy
142,PixArk,71.30528907377536,6,Shooter
142,PixArk,71.30528907377536,6,Role-playing (RPG)
142,PixArk,71.30528907377536,6,Strategy
142,PixArk,71.30528907377536,6,Adventure
143,Gene Shift Auto,69.95083232193197,6,Shooter
143,Gene Shift Auto,69.95083232193197,6,Role-playing (RPG)
143,Gene Shift Auto,69.95083232193197,6,Adventure
143,Gene Shift Auto,69.95083232193197,6,Indie
144,Demonologist,55.71428571428571,5,Puzzle
144,Demonologist,55.71428571428571,5,Simulator
144,Demonologist,55.71428571428571,5,Adventure
144,Demonologist,55.71428571428571,5,Indie
145,Nightingale,61.34468910123252,5,Role-playing (RPG)
145,Nightingale,61.34468910123252,5,Adventure
146,Turing Complete,83.37078651685394,5,Puzzle
146,Turing Complete,83.37078651685394,5,Simulator
147,Dominion,90.07874015748031,5,Strategy
147,Dominion,90.07874015748031,5,Card & Board Game
148,Anvil Saga,67.72131316470231,5,Role-playing (RPG)
148,Anvil Saga,67.72131316470231,5,Simulator
148,Anvil Saga,67.72131316470231,5,Indie
149,IdleOn: The Idle MMO,60.14821496751836,5,Point-and-click
149,IdleOn: The Idle MMO,60.14821496751836,5,Role-playing (RPG)
149,IdleOn: The Idle MMO,60.14821496751836,5,Simulator
149,IdleOn: The Idle MMO,60.14821496751836,5,Strategy
149,IdleOn: The Idle MMO,60.14821496751836,5,Indie
150,Population: One,96.0,5,Shooter
150,Population: One,96.0,5,Arcade
151,Hokko Life,43.0,5,Role-playing (RPG)
151,Hokko Life,43.0,5,Simulator
151,Hokko Life,43.0,5,Adventure
151,Hokko Life,43.0,5,Indie
152,Hunter's Arena: Legends,51.0809954501272,5,Role-playing (RPG)
152,Hunter's Arena: Legends,51.0809954501272,5,Strategy
152,Hunter's Arena: Legends,51.0809954501272,5,Adventure
153,Going Medieval,61.75159575149583,5,Role-playing (RPG)
153,Going Medieval,61.75159575149583,5,Simulator
153,Going Medieval,61.75159575149583,5,Strategy
153,Going Medieval,61.75159575149583,5,Indie
154,Dungeon of Dragon Knight,46.62921348314606,5,Role-playing (RPG)
154,Dungeon of Dragon Knight,46.62921348314606,5,Strategy
154,Dungeon of Dragon Knight,46.62921348314606,5,Adventure
154,Dungeon of Dragon Knight,46.62921348314606,5,Indie
155,Size Matters,50.84093736992634,5,Racing
155,Size Matters,50.84093736992634,5,Simulator
155,Size Matters,50.84093736992634,5,Adventure
155,Size Matters,50.84093736992634,5,Indie
156,Drunken Wrestlers 2,76.0,5,Simulator
156,Drunken Wrestlers 2,76.0,5,Sport
156,Drunken Wrestlers 2,76.0,5,Indie
157,Vegas Infinite by PokerStars,88.0,5,Strategy
157,Vegas Infinite by PokerStars,88.0,5,Card & Board Game
158,Scarf,66.4,5,Platform
158,Scarf,66.4,5,Role-playing (RPG)
158,Scarf,66.4,5,Strategy
158,Scarf,66.4,5,Adventure
158,Scarf,66.4,5,Indie
159,Among Trees,69.54784831221782,5,Simulator
159,Among Trees,69.54784831221782,5,Adventure
159,Among Trees,69.54784831221782,5,Indie
160,Space Haven,63.80323791759334,5,Role-playing (RPG)
160,Space Haven,63.80323791759334,5,Simulator
160,Space Haven,63.80323791759334,5,Strategy
160,Space Haven,63.80323791759334,5,Indie
161,Headsnatchers,47.78376298576376,5,Sport
161,Headsnatchers,47.78376298576376,5,Indie
162,The Lord of the Rings: Adventure Card Game,68.92047568695789,5,Role-playing (RPG)
162,The Lord of the Rings: Adventure Card Game,68.92047568695789,5,Strategy
162,The Lord of the Rings: Adventure Card Game,68.92047568695789,5,Turn-based strategy (TBS)
162,The Lord of the Rings: Adventure Card Game,68.92047568695789,5,Adventure
162,The Lord of the Rings: Adventure Card Game,68.92047568695789,5,Card & Board Game
163,Witchfire,49.69721893740783,5,Shooter
163,Witchfire,49.69721893740783,5,Adventure
164,Computer Tycoon,68.4416367775665,5,Simulator
164,Computer Tycoon,68.4416367775665,5,Strategy
164,Computer Tycoon,68.4416367775665,5,Indie
165,Desolate,76.41030041246324,5,Role-playing (RPG)
165,Desolate,76.41030041246324,5,Adventure
165,Desolate,76.41030041246324,5,Indie
166,Bio Inc. Redemption,70.0,5,Puzzle
