,Title,Average Score,Score Count,Developers,Games Developed
278,Witch Hunt,80.0,2,Andrii Vintsevych,5
279,Empires in Ruins,70.0,2,Hammer&Ravens,2
280,Dog Duty,70.0,2,Zanardi and Liza,4
281,Operation Warcade VR,72.5,2,Ivanovich Games,11
282,Crest,60.0,2,Eat Create Sleep,4
283,The District,20.0,2,DistrictTeam,1
284,VR Karts,57.5,2,Viewpoint Games,4
285,Planet Centauri,60.0,2,Permadeath,1
287,Project Arrhythmia,70.0,2,Vitamin Games,1
288,QuiVr,80.0,2,The Munky,1
289,Blasters of the Universe,70.0,2,The Secret Location,3
290,Bombslinger,72.5,2,Mode4,1
291,Star Explorers,50.0,2,Schmidt Workshops,3
292,Bigfoot,50.0,2,CyberLight Game Studio,1
294,Low Magic Age,80.0,2,Low Magic Studios,1
295,A-Tech Cybernetic,80.0,2,XREAL Games,4
297,Karnage Chronicles,80.0,2,Nordic Trolls,2
298,Post Human W.A.R,75.0,2,Studio Chahut,1
299,Sailaway,80.0,2,The Irregular Corporation,6
300,NITE Team 4,70.0,2,Alice & Smith,5
301,We Need to Go Deeper,80.0,2,Deli Interactive LLC,3
302,BattleCrew: Space Pirates,35.0,2,Dontnod Eleven,2
303,Spellsworn,80.0,2,Frogsong Studios,2
305,Stellar Overload,60.0,2,Cubical Drift,1
307,Drift Into Eternity,72.5,2,We Are Bots,1
308,Exoplanet: First Contact,80.0,2,Alersteam,1
309,Feed and Grow: Fish,60.0,2,Old B1ood,1
310,DropZone,75.0,2,Sparkypants Studios LLC,3
311,De Mambo,74.0,2,The Dangerous Kitchen,1
312,Super Indie Karts,80.0,2,One Legged Seagull,1
313,All Guns on Deck,40.0,2,KISS ltd,14
314,Wild Warfare,70.0,2,Hyper Hippo Entertainment,8
315,Elea,70.0,2,Kyodai,3
315,Elea,70.0,2,Kyodai,3
316,Kingdoms Rise,50.0,2,Flyleap Studios Pty. Ltd.,1
317,Bombernauts,80.0,2,Eyebrow Interactive,2
318,Folk Tale,50.0,2,Games Foundry,1
319,Gabe Newell Simulator,50.0,2,Antonio Renna,4
