,Title,Average Score,Score Count,Dates,Platforms,Regions
81,Who's Your Daddy,43.32214964721245,10,"May 02, 2024",PlayStation 4,Europe
81,Who's Your Daddy,43.32214964721245,10,"May 02, 2024",PlayStation 5,North America
81,Who's Your Daddy,43.32214964721245,10,"May 02, 2024",PlayStation 5,Europe
82,No Rest for the Wicked,79.96556164465606,9,"Apr 18, 2024",PC (Microsoft Windows),Worldwide
82,No Rest for the Wicked,79.96556164465606,9,TBD,Xbox Series X|S,Worldwide
82,No Rest for the Wicked,79.96556164465606,9,TBD,PlayStation 5,Worldwide
83,Slime Rancher 2,65.9702479338843,9,"Sep 22, 2022",Xbox One,Worldwide
83,Slime Rancher 2,65.9702479338843,9,"Sep 22, 2022",Xbox Series X|S,Worldwide
83,Slime Rancher 2,65.9702479338843,9,"Sep 22, 2022",PC (Microsoft Windows),Worldwide
83,Slime Rancher 2,65.9702479338843,9,TBD,PC (Microsoft Windows),Worldwide
83,Slime Rancher 2,65.9702479338843,9,"Jun 07, 2024",PlayStation 5,Worldwide
84,Seen,54.26400260464785,9,"Jun 21, 2019",PC (Microsoft Windows),Worldwide
84,Seen,54.26400260464785,9,"Jun 20, 2019",PC (Microsoft Windows),North America
85,Russian Fishing 4,68.56625763972927,9,"Jun 15, 2018",PC (Microsoft Windows),Worldwide
86,Rico,53.13678278816184,9,"Mar 13, 2019",Xbox One,Worldwide
86,Rico,53.13678278816184,9,"Mar 14, 2019",PC (Microsoft Windows),Worldwide
86,Rico,53.13678278816184,9,"Mar 12, 2019",PlayStation 4,Worldwide
86,Rico,53.13678278816184,9,"Mar 14, 2019",Nintendo Switch,North America
86,Rico,53.13678278816184,9,"Mar 13, 2019",Xbox One,North America
87,Savage Lands,59.61447578996194,9,"Feb 04, 2015",PC (Microsoft Windows),Worldwide
87,Savage Lands,59.61447578996194,9,"Feb 04, 2015",Mac,Worldwide
87,Savage Lands,59.61447578996194,9,"Feb 04, 2015",Linux,Worldwide
88,The Universim,65.72087908908081,9,"Aug 28, 2018",PC (Microsoft Windows),Worldwide
88,The Universim,65.72087908908081,9,"Aug 28, 2018",Mac,Worldwide
88,The Universim,65.72087908908081,9,"Aug 28, 2018",Linux,Worldwide
89,Hades II,85.0754897653551,8,"May 06, 2024",PC (Microsoft Windows),Worldwide
90,Big Time,87.05882352941175,8,"Apr 19, 2022",PC (Microsoft Windows),Worldwide
91,Achilles: Legends Untold,57.53421887637653,8,"Nov 02, 2023",Xbox Series X|S,North America
91,Achilles: Legends Untold,57.53421887637653,8,"Nov 02, 2023",PlayStation 5,Worldwide
91,Achilles: Legends Untold,57.53421887637653,8,"May 12, 2022",PC (Microsoft Windows),Worldwide
91,Achilles: Legends Untold,57.53421887637653,8,"Nov 02, 2023",PC (Microsoft Windows),Worldwide
92,Second Extinction,72.61604711117297,8,"Oct 20, 2022",Xbox One,Worldwide
92,Second Extinction,72.61604711117297,8,"Oct 20, 2022",Xbox Series X|S,Worldwide
92,Second Extinction,72.61604711117297,8,"Oct 13, 2020",PC (Microsoft Windows),Worldwide
93,Craftopia,71.79325842696629,8,"Sep 04, 2020",PC (Microsoft Windows),Worldwide
93,Craftopia,71.79325842696629,8,"Jul 05, 2020",Xbox One,Worldwide
94,Dinkum,83.38946077023459,8,"Jul 14, 2022",PC (Microsoft Windows),Worldwide
95,Foundation,63.68350171809344,8,"Feb 01, 2019",PC (Microsoft Windows),Worldwide
96,Nova Drift,39.54285714285714,8,"Mar 27, 2019",Mac,Worldwide
96,Nova Drift,39.54285714285714,8,"Mar 27, 2019",PC (Microsoft Windows),Worldwide
96,Nova Drift,39.54285714285714,8,Aug 2024,PC (Microsoft Windows),Worldwide
97,Academia: School Simulator,69.81034505672702,8,"Sep 08, 2017",PC (Microsoft Windows),Worldwide
98,Staxel,54.56949609190651,8,"Jan 23, 2018",PC (Microsoft Windows),Worldwide
98,Staxel,54.56949609190651,8,"Sep 23, 2021",Nintendo Switch,North America
98,Staxel,54.56949609190651,8,"Sep 23, 2021",Nintendo Switch,Europe
99,Oriental Empires,53.375,8,"Sep 20, 2016",PC (Microsoft Windows),Worldwide
100,ARK: Survival of the Fittest,14.66815512119835,8,"Jul 19, 2016",PlayStation 4,Worldwide
100,ARK: Survival of the Fittest,14.66815512119835,8,"Mar 15, 2016",PC (Microsoft Windows),Worldwide
100,ARK: Survival of the Fittest,14.66815512119835,8,"Mar 15, 2016",Mac,Worldwide
100,ARK: Survival of the Fittest,14.66815512119835,8,"Mar 15, 2016",Linux,Worldwide
101,Echo of Soul,56.72286707808303,8,"Jun 22, 2015",PC (Microsoft Windows),Worldwide
102,Riot: Civil Unrest,50.91514610670846,8,"Dec 06, 2017",Linux,Worldwide
102,Riot: Civil Unrest,50.91514610670846,8,"Dec 06, 2017",Mac,Worldwide
