,Title,Average Score,Score Count,Game Modes
113,Foundry,86.20689655172414,7,Co-operative
114,Tiny Bunny,71.41721795289932,7,Single player
115,Timberborn,71.91697415473745,7,Single player
116,Atlas,58.89921777576238,7,Single player
116,Atlas,58.89921777576238,7,Multiplayer
116,Atlas,58.89921777576238,7,Co-operative
116,Atlas,58.89921777576238,7,Massively Multiplayer Online (MMO)
117,Torque Drift,90.0,7,Single player
117,Torque Drift,90.0,7,Multiplayer
118,Legion TD 2,51.16048146568269,7,Single player
118,Legion TD 2,51.16048146568269,7,Multiplayer
118,Legion TD 2,51.16048146568269,7,Co-operative
119,Infinite Minigolf,62.66666666666666,7,Single player
119,Infinite Minigolf,62.66666666666666,7,Multiplayer
120,Stationeers,95.20050654284509,7,Single player
120,Stationeers,95.20050654284509,7,Multiplayer
120,Stationeers,95.20050654284509,7,Co-operative
121,Death Trash,68.52367872511509,7,Single player
121,Death Trash,68.52367872511509,7,Multiplayer
121,Death Trash,68.52367872511509,7,Co-operative
121,Death Trash,68.52367872511509,7,Split screen
122,Grav,56.24543788632251,7,Single player
122,Grav,56.24543788632251,7,Multiplayer
122,Grav,56.24543788632251,7,Co-operative
123,Blockade 3D,59.81505490544451,7,Multiplayer
123,Blockade 3D,59.81505490544451,7,Co-operative
124,Of Guards and Thieves,58.56139364990166,7,Multiplayer
124,Of Guards and Thieves,58.56139364990166,7,Co-operative
124,Of Guards and Thieves,58.56139364990166,7,Massively Multiplayer Online (MMO)
125,Between Me and the Night,77.27534502733315,7,Single player
126,Project: Playtime,53.33333333333333,6,Multiplayer
126,Project: Playtime,53.33333333333333,6,Co-operative
127,Yet Another Zombie Survivors,80.01239517362927,6,Single player
128,Shatterline,79.82540790582537,6,Multiplayer
128,Shatterline,79.82540790582537,6,Co-operative
129,The Anacrusis,53.60345222633449,6,Single player
129,The Anacrusis,53.60345222633449,6,Multiplayer
129,The Anacrusis,53.60345222633449,6,Co-operative
130,Farthest Frontier,79.98012175425518,6,Single player
131,Manor Lords,71.40392597690112,6,Single player
132,All Over,83.33333333333334,6,Single player
133,Orbital Bullet,70.42121316700332,6,Single player
134,Firestone Idle RPG,47.06422018348624,6,Single player
134,Firestone Idle RPG,47.06422018348624,6,Multiplayer
134,Firestone Idle RPG,47.06422018348624,6,Co-operative
134,Firestone Idle RPG,47.06422018348624,6,Massively Multiplayer Online (MMO)
135,Trials of Fire,75.83333333333334,6,Single player
136,War Selection,62.2308979364194,6,Single player
136,War Selection,62.2308979364194,6,Multiplayer
136,War Selection,62.2308979364194,6,Massively Multiplayer Online (MMO)
137,Deeeer Simulator,62.07143660752438,6,Single player
138,Workers & Resources: Soviet Republic,68.50416764302213,6,Single player
139,Half-Life: Uplink,70.08421892086201,6,Single player
140,Maximum Action,63.80596290181607,6,Single player
141,Pandemic: The Board Game,61.13560829183328,6,Single player
141,Pandemic: The Board Game,61.13560829183328,6,Multiplayer
141,Pandemic: The Board Game,61.13560829183328,6,Co-operative
142,PixArk,71.30528907377536,6,Single player
142,PixArk,71.30528907377536,6,Multiplayer
142,PixArk,71.30528907377536,6,Co-operative
142,PixArk,71.30528907377536,6,Massively Multiplayer Online (MMO)
143,Gene Shift Auto,69.95083232193197,6,Single player
143,Gene Shift Auto,69.95083232193197,6,Multiplayer
143,Gene Shift Auto,69.95083232193197,6,Co-operative
143,Gene Shift Auto,69.95083232193197,6,Battle Royale
144,Demonologist,55.71428571428571,5,Multiplayer
144,Demonologist,55.71428571428571,5,Co-operative
145,Nightingale,61.34468910123252,5,Single player
145,Nightingale,61.34468910123252,5,Multiplayer
145,Nightingale,61.34468910123252,5,Co-operative
146,Turing Complete,83.37078651685394,5,Single player
147,Dominion,90.07874015748031,5,Single player
147,Dominion,90.07874015748031,5,Multiplayer
