,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1420510,1420510,Usurper: Soulbound,Caspian Interactive,Caspian Interactive,,40,14,0,"0 .. 20,000",0,0,0,0,1399,1399,0,0
1587020,1587020,Parapsychology,Batuhan Necati Keleş,Batuhan Necati Keleş,,8,8,0,"0 .. 20,000",0,0,0,0,699,699,0,0
824450,824450,Blockchain Tycoon,Wamill,Wamill,,24,27,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1049220,1049220,Naxia,Infinite8,Infinite8,,64,47,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
1466100,1466100,RavenWeald,Turbowizard Studios,Turbowizard Studios,,15,1,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1274430,1274430,Human Origin,AmyBeryl,AmyBeryl,,22,5,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1170120,1170120,OUTTA GAS,Trevor Kellogg,Good Steward Games,,46,2,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
717760,717760,"Catch the Thief, If you can!",Star Game Studios,Star Game Studios,,13,5,0,"0 .. 20,000",0,0,0,0,999,999,0,0
614970,614970,Qbike: Cyberpunk Motorcycles,GexagonVR,GexagonVR,,32,26,0,"0 .. 20,000",0,0,0,0,0,0,0,0
745810,745810,SAS,True Illusion Software,True Illusion Software,,90,37,0,"0 .. 20,000",0,0,0,0,749,1499,50,0
1713680,1713680,80's Night,"Iful GS, Dynamic Games","Iful GS, Dynamic Games",,30,17,0,"0 .. 20,000",0,0,0,0,199,199,0,0
2468030,2468030,Throwback,Look On Media,Look On Media,,5,1,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
2189150,2189150,Conspiracy TD,Arc51,Arc51,,2,0,0,"0 .. 20,000",0,0,0,0,299,299,0,0
2116460,2116460,Anomaly,"Firelight Studios, Bleeding Leprechaun Studios",Firelight Studios,,7,1,0,"0 .. 20,000",0,0,0,0,499,499,0,0
793560,793560,Warfare 1944,MicroProse Software,MicroProse Software,,65,61,0,"0 .. 20,000",0,0,0,0,999,999,0,0
486320,486320,Orbit: Satellite Defense,Bluish-Green Productions,Bluish-Green Games Inc.,,2,1,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1474880,1474880,Cash Horse - Match 3 Puzzle Adventure,Dnovel,Dnovel,,23,6,0,"0 .. 20,000",0,0,0,0,999,999,0,0
328740,328740,Bit Odyssey,Gamesare,Clickteam,,18,24,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1706260,1706260,Unionatic,Banana Jellybean Studios,Banana Jellybean Studios,,13,1,0,"0 .. 20,000",0,0,0,0,799,799,0,0
1362270,1362270,ALPHA CENTAURI SPACE FORCE,ocasocreations,ocasocreations,,1,0,0,"0 .. 20,000",0,0,0,0,249,999,75,0
882150,882150,Sky Link,Odisi Games,Odisi Games,,55,13,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
2531210,2531210,Wizard of foam Magic,3PLIX Project,3PLIX Games,,0,1,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1851240,1851240,That Castle,Jota14K,Jota14K,,5,2,0,"0 .. 20,000",0,0,0,0,299,299,0,0
2550460,2550460,The Johnny Papa,Hector Games,Hector Games,,1,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
